" Movie Title"," Distributor"," Gross"," Release"
"Sex and the City","n/a","$835,313","6/5"
"Mamma Mia!","n/a","$579,910","9/4"
"The Dark Knight","n/a","$552,373","7/24"
"Madagascar: Escape 2 Africa","n/a","$528,610","12/11"
"Quantum of Solace","n/a","$472,114","11/6"
"Indiana Jones and the Kingdom of the Crystal
Skull","n/a","$424,294","5/22"
"Twilight","n/a","$402,019","12/25"
"Kung Fu Panda","n/a","$400,865","7/3"
"The Mummy: Tomb of the Dragon Emperor","n/a","$344,122","8/14"
"The Women (2008)","n/a","$318,183","10/23"
"Hancock","n/a","$312,872","7/3"
"10,000 B.C.","n/a","$299,318","3/13"
"P.S. I Love You","n/a","$263,073","2/14"
"Step Up 2 the Streets","n/a","$262,037","3/27"
"I Am Legend","n/a","$232,048","1/17"
"Australia","Fox","$224,553","12/25"
"Wall-E","n/a","$204,583","8/7"
"The Chronicles of Narnia: Prince Caspian","n/a","$198,517","5/15"
"Tropic Thunder","n/a","$190,283","9/25"
"Open Season 2","n/a","$186,124","11/6"
"Dr. Seuss' Horton Hears a Who!","n/a","$179,106","3/27"
"The Day the Earth Stood Still (2008)","n/a","$175,698","12/11"
"No Country for Old Men","n/a","$168,167","2/7"
"The Golden Compass","n/a","$167,911","1/10"
"Wanted","n/a","$166,392","6/26"
"My Best Friend's Girl","n/a","$165,667","11/28"
"27 Dresses","n/a","$162,892","2/21"
"Iron Man","n/a","$162,294","5/1"
"Taken","n/a","$156,146","11/28"
"Journey to the Center of the Earth","n/a","$155,648","9/11"
"Four Christmases","n/a","$151,422","12/18"
"What Happens in Vegas","n/a","$146,824","5/15"
"The Bucket List","n/a","$135,279","3/27"
"Burn After Reading","n/a","$135,199","12/4"
"High School Musical 3: Senior Year","n/a","$133,295","12/4"
"Vicky Cristina Barcelona","n/a","$131,707","10/2"
"Beowulf","n/a","$130,542","1/3"
"My Mom's New Boyfriend (a.k.a. Homeland
Security)","n/a","$126,841","8/7"
"Fool's Gold","n/a","$126,308","4/17"
"Forgetting Sarah Marshall","n/a","$123,789","6/19"
"Body of Lies","n/a","$123,774","11/20"
"Space Chimps","n/a","$119,580","8/21"
"Alvin and the Chipmunks","n/a","$117,545","1/17"
"El Ratón Pérez","n/a","$109,524","3/6"
"Juno","n/a","$108,451","2/28"
"Wild Child","n/a","$104,794","10/2"
"Made of Honor","n/a","$96,869","8/7"
"Eagle Eye","n/a","$95,563","10/9"
"U2 3D","n/a","$95,465","9/25"
"Mongol","n/a","$94,319","4/24"
"The X-Files: I Want to Believe","n/a","$90,741","7/31"
"The Bank Job","n/a","$90,623","8/28"
"Righteous Kill","n/a","$88,636","11/6"
"Jumper","n/a","$88,133","4/10"
"The Incredible Hulk","n/a","$87,874","7/10"
"21","n/a","$87,466","4/17"
"The Spiderwick Chronicles","n/a","$86,757","3/20"
"There Will Be Blood","n/a","$84,183","2/21"
"Sweeney Todd: The Demon Barber of Fleet
Street","n/a","$83,754","2/21"
"Love in the Time of Cholera","n/a","$83,128","1/3"
"You Don't Mess with the Zohan","n/a","$80,717","8/21"
"Death Race","n/a","$78,842","10/16"
"Get Smart","n/a","$76,832","8/28"
"Saw V","n/a","$76,222","10/30"
"Nights in Rodanthe","n/a","$76,222","10/30"
"Charlie Wilson's War","n/a","$75,689","2/14"
"L'Instinct de mort","n/a","$74,264","12/18"
"One Missed Call","n/a","$74,213","2/7"
"Cloverfield","n/a","$69,429","1/31"
"Elegy","n/a","$67,359","11/13"
"Hellboy II: The Golden Army","n/a","$63,042","9/18"
"The Illusionist","n/a","$62,493","3/13"
"Alien vs. Predator - Requiem","n/a","$60,669","1/10"
"La Doublure (The Valet)","n/a","$56,444","1/31"
"Donkey Xote","n/a","$56,438","5/1"
"The Happening","n/a","$56,380","6/12"
"Love and Other Disasters","n/a","$55,390","4/3"
"Sex and Death 101","n/a","$53,036","10/16"
"Over Her Dead Body","n/a","$51,491","5/8"
"Untraceable","n/a","$49,303","4/17"
"Vantage Point","n/a","$44,377","4/3"
"Deception (2008)","n/a","$43,117","7/3"
"Meet Dave","n/a","$42,857","7/17"
"The Hottie & the Nottie","n/a","$38,871","7/24"
"Mad Money","n/a","$38,613","6/12"
"Pride & Glory","n/a","$37,345","12/4"
"Gone Baby Gone","n/a","$37,211","1/17"
"Big Stan","n/a","$37,132","12/18"
"Nim's Island","n/a","$37,086","6/5"
"The Other Boleyn Girl","n/a","$36,442","5/1"
"The Mist","n/a","$36,216","3/13"
"The Eye","n/a","$34,558","5/29"
